name,address,school_type,都道府県
比叡山中学校,滋賀県大津市坂本４丁目３－１,私立,滋賀県
幸福の科学学園関西中学校,滋賀県大津市仰木の里東二丁目１６番１号,私立,滋賀県
近江兄弟社中学校,滋賀県近江八幡市市井町１７７,私立,滋賀県
光泉カトリック中学校,滋賀県草津市野路町１７８,私立,滋賀県
立命館守山中学校,滋賀県守山市三宅町２５０,私立,滋賀県
滋賀学園中学校,滋賀県東近江市建部北町５２０－１,私立,滋賀県
洛星中学校,京都府京都市北区小松原南町３３,私立,京都府
同志社中学校,京都府京都市左京区岩倉大鷺町８９,私立,京都府
同志社女子中学校,京都府京都市上京区今出川通寺町西入玄武町６０２－１,私立,京都府
平安女学院中学校,京都府京都市上京区下立売通烏丸西入五町目町１７２－２,私立,京都府
京都産業大学附属中学校,京都府京都市下京区中堂寺命婦町１－１０,私立,京都府
京都文教中学校,京都府京都市左京区岡崎円勝寺町５,私立,京都府
ノートルダム女学院中学校,京都府京都市左京区鹿ケ谷桜谷町１１０,私立,京都府
東山中学校,京都府京都市左京区永観堂５１,私立,京都府
両洋中学校,京都府京都市中京区壬生上大竹町１３,私立,京都府
華頂女子中学校,京都府京都市東山区林下町３－４５６,私立,京都府
京都女子中学校,京都府京都市東山区今熊野北日吉町１７番地,私立,京都府
大谷中学校,京都府京都市東山区今熊野池田町１２,私立,京都府
一燈園中学校,京都府京都市山科区四ノ宮柳山町２９,私立,京都府
龍谷大学付属平安中学校,京都府京都市下京区北小路通大宮西入御器屋町３０番地,私立,京都府
京都光華中学校,京都府京都市右京区西京極野田町３９,私立,京都府
京都聖母学院中学校,京都府京都市伏見区深草田谷町１,私立,京都府
洛南高等学校附属中学校,京都府京都市南区壬生通八条下る東寺町５５９,私立,京都府
京都精華学園中学校,京都府京都市左京区吉田河原町５－１,私立,京都府
京都共栄学園中学校,京都府福知山市篠尾６２－５,私立,京都府
同志社国際中学校,京都府京田辺市多々羅都谷６０－１,私立,京都府
京都先端科学大学附属中学校,京都府京都市右京区花園寺ノ中町８番地,私立,京都府
立命館宇治中学校,京都府宇治市広野町八軒屋谷３３－１,私立,京都府
花園中学校,京都府京都市右京区花園木辻北町１,私立,京都府
京都国際中学校,京都府京都市東山区今熊野本多山町１,私立,京都府
京都橘中学校,京都府京都市伏見区桃山町伊賀５０,私立,京都府
立命館中学校,京都府長岡京市調子一丁目１番１号,私立,京都府
追手門学院大手前中学校,大阪府大阪市中央区大手前１－３－２０,私立,大阪府
相愛中学校,大阪府大阪市中央区本町４－１－２３,私立,大阪府
大阪女学院中学校,大阪府大阪市中央区玉造２－２６－５４,私立,大阪府
ヴェリタス城星学園中学校,大阪府大阪市中央区玉造２－２３－２６,私立,大阪府
明星中学校,大阪府大阪市天王寺区餌差町５－４４,私立,大阪府
清風中学校,大阪府大阪市天王寺区石ヶ辻町１２ー１６,私立,大阪府
上宮太子中学校,大阪府南河内郡太子町太子１０５３,私立,大阪府
大阪星光学院中学校,大阪府大阪市天王寺区伶人町１－６,私立,大阪府
四天王寺中学校,大阪府大阪市天王寺区四天王寺１－１１－７３,私立,大阪府
金蘭会中学校,大阪府大阪市北区大淀南３－３－７,私立,大阪府
プール学院中学校,大阪府大阪市生野区勝山北１－１９－３１,私立,大阪府
大阪信愛学院中学校,大阪府大阪市城東区古市２－７－３０,私立,大阪府
建国中学校,大阪府大阪市住吉区遠里小野２丁目３番１３号,私立,大阪府
